zpid,streetAddress,zipcode,city,state,latitude,longitude,price,dateSold,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,isUnmappable,isPreforeclosureAuction,priceForHDP,timeOnZillow,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,isShowcaseListing,listing_sub_type.is_FSBA,homeStatusForHDP,datePriceChanged,priceReduction,priceChange,isRentalWithBasePrice,contingentListingType,listing_sub_type.is_accepting_backup_offers,providerListingID,newConstructionType,listing_sub_type.is_newHome,videoCount,openHouse,listing_sub_type.is_openHouse,open_house_info.open_house_showing,unit,listing_sub_type.is_bankOwned,listing_sub_type.is_forAuction,rentalMarketingSubType
16540227,44221 S El Macero Dr,95618,El Macero,CA,38.539963,-121.69039,600000.0,1665126000000,3.0,4.0,2260.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,628100.0,3499,False,False,600000.0,45887661000.0,True,False,False,USD,USA,1035000.0,9931.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16518369,2420 Temple Dr,95618,Davis,CA,38.561195,-121.722404,783000.0,1664953200000,2.0,3.0,1712.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,819200.0,3300,False,False,783000.0,46060461000.0,True,False,False,USD,USA,783000.0,5998.212,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16519750,3006 Bollate Ln,95618,Davis,CA,38.56245,-121.71169,900000.0,1664953200000,2.0,4.0,2200.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,941600.0,3579,False,False,900000.0,46060461000.0,True,False,False,USD,USA,900000.0,7148.196,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
82973968,323 Messina Ter,95618,Davis,CA,38.549168,-121.700874,643000.0,1664866800000,3.0,3.0,1343.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,671000.0,2800,False,False,643000.0,46146861000.0,True,False,False,USD,USA,643000.0,1742.4,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16518558,1309 Locust Pl,95618,Davis,CA,38.557976,-121.72585,575000.0,1664780400000,2.0,3.0,1426.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,601300.0,3194,False,False,575000.0,,True,False,False,USD,USA,575000.0,6900.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
2069520988,44561 County Road 30,95618,Davis,CA,38.572792,-121.68193,3362089.0,1664348400000,,,,LOT,RECENTLY_SOLD,-1,False,False,,2997,False,False,3362089.0,46665261000.0,True,False,False,USD,USA,,153.75,acres,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16542311,1119 Greene Ter,95618,Davis,CA,38.543842,-121.7212,524000.0,1664262000000,3.0,3.0,1205.0,CONDO,RECENTLY_SOLD,-1,False,False,547000.0,2700,False,False,524000.0,46751661000.0,True,False,False,USD,USA,524000.0,518.364,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16544911,1125 Salamanca Ct,95618,Davis,CA,38.55636,-121.716064,990000.0,1664262000000,3.0,4.0,2217.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,1033400.0,3914,False,False,990000.0,46751661000.0,True,False,False,USD,USA,990000.0,6098.4,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
247819467,3205 Albany Ter,95618,Davis,CA,38.546577,-121.71264,414500.0,1664175600000,3.0,3.0,1182.0,TOWNHOUSE,RECENTLY_SOLD,-1,False,False,431300.0,2800,False,False,414500.0,46838061000.0,True,False,False,USD,USA,414327.0,1603.008,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
111439938,3640 Santo Ter,95618,Davis,CA,38.556267,-121.70616,799000.0,1663830000000,3.0,3.0,1794.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,832700.0,3499,False,False,799000.0,47183661000.0,True,False,False,USD,USA,799000.0,2030.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
